code,市場,銘柄名,現在値,業種,出来高,配当利回り,予PER,実PBR,単元株数,売上高,経常利益,自己資本比率,実ROE,優待月(上),優待月(下),単元倍率,特色,連結事業
1418,東証JQS,インターライフホールディングス,215.0,建設業,"7,500",1.89,40.85,1.06,100,14823,286,46.2,2.64,2,,10.0,内装工事の日商インター等傘下の持株会社。音響・照明設備工事に参入。人材派遣や携帯販売も,工事68(5)、人材サービス13(0)、店舗サービス17(4)、不動産1(46)、他1(14)(2020.2)
1419,東証1部,タマホーム,2278.0,建設業,"489,700",3.95,12.91,2.88,100,209207,9754,20.8,25.99,5,11,1.0,ローコスト系の注文住宅会社。首都圏郊外や地方を中心に展開。分譲住宅やオフィス区分販売も,住宅80(2)、不動産16(14)、金融1(39)、エネルギー0(26)、他3(3)(2020.5)
1420,東証1部,サンヨーホームズ,714.0,建設業,"118,100",3.50,11.27,0.47,100,53487,872,32.2,3.05,3,,1.0,戸建て住宅、マンション、賃貸福祉住宅の設計・販売が主。近畿圏中心に首都圏、中部圏等で展開,住宅43(-1)、マンション51(7)、他6(-5)(2020.3)
1429,東証1部,日本アクア,536.0,建設業,"34,100",3.70,13.40,2.46,100,21872,1911,47.7,18.53,,,,硬質ウレタンフォーム使った住宅・建築物断熱材の施工販売。エコ注文住宅のヒノキヤグループ,【単独事業】熱絶縁工事100(2020.12)
1430,東証1部,ファーストコーポレーション,811.0,建設業,"30,800",3.97,10.65,1.79,100,23418,1297,33.9,14.65,,11,5.0,首都圏軸に分譲マンション建設。用地手当てから建築まで一貫の造注方式に強み。福岡にも進出,【単独事業】分譲マンション建設工事55、不動産販売42、他3(2020.5)
1431,マザーズ,Ｌｉｂ　Ｗｏｒｋ,823.0,建設業,"64,000",0.56,48.40,5.88,100,6036,195,57.1,7.29,3,9,1.0,熊本県、福岡県地盤の注文住宅メーカー。住宅見学会やネット中心の販売から展示場も活用へ,【単独事業】建築請負84、不動産販売14、他2(2020.6)
1433,東証1部,ベステラ,1539.0,建設業,"17,500",1.03,35.58,4.94,100,3682,212,43.0,5.54,1,,1.0,製鉄所や発電所、石油化学等のプラント解体工事マネジメント会社。複数の特許工法を有する,プラント解体94(21)、他6(20)(2020.1)
1434,東証2部,ＪＥＳＣＯホールディングス,540.0,建設業,"37,600",2.21,13.75,1.03,100,8993,390,33.8,9.67,,,,独立系電気設備工事会社、設計・調達・施工管理（ＥＰＣ）一貫受注。広告など総合メディア併営,国内ＥＰＣ78(5)、アセアンＥＰＣ20(-4)、不動産管理2(44)、他‥(0)【海外】17(2020.8)
1435,東証1部,Ｒｏｂｏｔ　Ｈｏｍｅ,218.0,建設業,"2,100,500",0.00,72.96,2.76,100,6147,-694,77.2,-13.03,,,,アパート建築のマッチングサイトで成長。１８年の不祥事を経て、ＩｏＴ活用の賃貸管理に軸足,ＫＡＮＲＹ49(32)、ＴＡＴＥＲＵ51(-15)、他0(-2587)(2020.12)
1436,マザーズ,フィット,915.0,建設業,"32,700",1.08,22.89,0.91,100,4735,142,56.5,1.85,,,,徳島県発祥。祖業は建築請負だが、投資家向けコンパクトソーラー発電所が主柱に。業績乱高下,【単独事業】クリーンエネルギー44(14)、スマートホーム38(0)、ストック18(29)(2020.4)
1438,名証2部,岐阜造園,2087.0,建設業,200,1.67,15.01,1.11,100,3853,289,70.6,7.33,,9,2.0,造園緑化専業で唯一の上場会社。設計・施工・メンテの一貫体制。東海・関西地盤だが関東進出,ランドスケープ40、ガーデンエクステリア60(2020.9)
1439,東証JQS,安江工務店,1025.0,建設業,"3,800",2.47,18.12,0.96,100,5396,38,32.5,-0.91,,,,愛知県で住宅リフォーム請負を軸に新築、仲介・買い取り再販も展開。熊本に新築住宅の子会社,住宅リフォーム75(0)、新築住宅16(6)、不動産流通9(-5)(2020.12)
1443,東証2部,技研ホールディングス,301.0,建設業,"96,800",0.33,6.13,0.55,100,10008,1205,63.9,8.36,,,,法面保護、放射線防護工事子会社の技研興業が収益柱。フリージアグループが当社株過半保有,土木関連31(18)、建築関連47(16)、型枠貸与関連21(8)、他1(38)(2020.3)
1444,名古屋セ,ニッソウ,2389.0,建設業,---,0.00,16.22,2.34,100,2729,186,77.8,17.34,,,,首都圏で賃貸住居・事務所の原状回復工事を中小不動産会社から受注する施工業者。中古再生も,【単独事業】リフォーム100(2020.7)
1446,東証1部,キャンディル,523.0,建設業,"10,800",1.15,---,1.64,100,12264,429,40.4,5.84,,9,2.0,住宅や商業施設の補修会社。住宅大手と親密。ホテル等の改修、家具取付も。全国に技術者配置,リペアサービス38、住環境向け建築サービス25、商環境向け建築サービス31、商材販売6(2020.9)
1447,マザーズ,ＩＴｂｏｏｋホールディングス,447.0,建設業,"1,645,200",---,61.49,3.41,100,21224,140,18.5,3.42,,,,ＩＴコンサルのＩＴｂｏｏｋと地盤調査・改良工事のサムシングＨＤが１８年１０月に経営統合,コンサルティング7(-1)、システム開発11(5)、人材派遣21(0)、地盤調査改良56(2)、保証検査1(9)、他3(6)(2020.3)
1448,東証1部,スペースバリューホールディングス,726.0,建設業,"53,100",2.06,18.36,0.99,100,77510,732,32.6,1.31,3,,1.0,プレハブ建築、立体駐車場の総合会社。建設、開発と多角化。日成ビルド工業が持株会社化,システム建築53(9)、総合建設25(3)、立体駐車場18(5)、開発2(15)、ファシリティマネジメント2(-7)(2020.3)
1449,札幌ア,ＦＵＪＩジャパン,597.0,建設業,"4,000",1.18,19.10,3.82,100,1481,57,59.4,12.78,,,,北海道を地盤に住宅の外壁リフォーム工事を展開。外壁材の製造・販売も手がける。関東圏開拓,【単独事業】外壁リフォーム工事90(12)、他リフォーム工事5(3)、材料販売5(13)(2020.12)
1450,東証JQS,田中建設工業,2325.0,建設業,"4,800",2.91,11.75,2.13,100,9011,1458,68.2,22.50,,,,建築構造物の解体工事の施工管理に特化。１都３県を中心に展開。民需主体で元請け比率高い,【単独事業】解体100(2020.3)
1451,東証2部,ＫＨＣ,616.0,建設業,"7,100",5.31,6.99,0.43,100,11632,492,38.6,5.67,,,,注文建築・分譲など事業子会社を有する持株会社。兵庫県が地盤。親会社は日本アジアグループ,住宅請負61、分譲用土地32、分譲用建物6、他1(2020.3)
1491,東証2部,中外鉱業,32.0,非鉄金属,"847,700",0.00,228.57,1.41,100,39452,226,79.4,2.70,,,,金中心に貴金属をリサイクル販売。不動産、中古機械販売も。先物投資運用事業が収益を左右,貴金属91(1)、不動産4(26)、機械4(-1)、投資-4、コンテンツ6(22)、他0(-17)(2020.3)
1514,東証1部,住石ホールディングス,131.0,鉱業,"551,500",2.31,18.73,0.56,100,9781,-33,88.6,-0.63,,,,住友石炭鉱業が母体。国内炭撤退、豪州等からの輸入炭にシフト。人工ダイヤ、採石等にも展開,石炭93(3)、新素材2(9)、採石5(13)(2020.3)
1515,東証1部,日鉄鉱業,6260.0,鉱業,"40,100",2.86,10.47,0.47,100,119159,9629,58.9,3.55,3,,1.0,日本製鉄系。石灰石、銅精鉱、電気銅主力。機械、環境、不動産も。チリ銅鉱山など海外採鉱拡大,鉱石46(12)、金属39(1)、機械・環境11(10)、不動産2(56)、再生可能エネルギー2(22)【海外】19(2020.3)
1518,東証1部,三井松島ホールディングス,932.0,鉱業,"46,900",5.38,6.04,0.40,100,57378,3020,42.8,-9.60,3,,1.0,柱は豪州生産、輸入販売など石炭事業。衣料、施設運営、飲料ストロー等に展開。明光商会を買収,エネルギー62(8)、生活関連36(3)、他2(4)(2020.3)
1605,東証1部,ＩＮＰＥＸ,823.0,鉱業,"9,788,100",4.00,8.60,0.41,100,771046,257335,59.0,-3.87,,12,4.0,原油・ガス開発生産国内最大手。政府が黄金株保有。豪州でＬＮＧ案件（イクシス）を操業,原油66、天然ガス32、他2【海外】55(2020.12)
1662,東証1部,石油資源開発,2173.0,鉱業,"161,300",2.30,---,0.31,100,240078,10001,64.0,-0.68,,,,原油・ガス開発専業。国内の天然ガス田操業が基盤。海外開発シフト。カナダで超重質油を生産,原油・天然ガス81、請負5、他14【海外】50(2020.3)
1663,東証1部,Ｋ＆Ｏエナジーグループ,1388.0,鉱業,"26,300",2.16,14.78,0.48,100,58452,4050,80.4,3.76,,,,持株会社。天然ガス開発から都市ガス供給まで一貫。輸出柱のヨウ素の生産・販売でも世界有数,ガス81(8)、ヨウ素8(43)、他10(9)(2020.12)
1711,東証2部,省電舎ホールディングス,447.0,建設業,"59,500",0.00,---,68.23,100,844,-272,12.6,-1288.89,,,,省エネ施設の設計・施工で再建図る。太陽光発電事業は大型から自家消費型の施工販売へ転換,省エネルギー関連79(-12)、再生可能エネルギー21(11)(2020.3)
1712,東証1部,ダイセキ環境ソリューション,927.0,建設業,"74,100",0.64,17.70,1.21,100,14906,1241,61.4,5.41,,,,汚染土壌の調査から浄化処理までの一貫体制に特徴。名古屋地盤だが関東、関西でも展開拡大,土壌汚染調査・処理77(12)、廃石膏ボードリサイクル14(21)、他10(18)(2020.2)
1716,東証1部,第一カッター興業,1389.0,建設業,"18,400",1.02,12.04,1.19,100,17440,2482,77.1,13.52,,,,ダイヤモンド使用のコンクリート構造物切断・穿孔工事が主力。水圧のウォータージェットも,切断・穿孔工事88(19)、ビルメンテナンス2(7)、リユース・リサイクル10(5)(2020.6)
1717,東証1部,明豊ファシリティワークス,802.0,サービス業,"84,800",3.47,14.39,2.35,100,4240,910,71.0,15.57,,,,事務所や工場、学校などの建設・移転を支援するＣＭ（コンストラクションマネジメント）主力,【単独事業】オフィス26(18)、ＣＭ51(20)、ＣＲＥＭ23(26)(2020.3)
1718,東証JQS,美樹工業,4180.0,,,,,,,,,,,,,,,
1719,東証1部,安藤ハザマ,863.0,,,,,,,,,,,,,,,
1720,東証1部,東急建設,691.0,,,,,,,,,,,,,,,
1721,東証1部,コムシスホールディングス,3180.0,,,,,,,,,,,,,,,
1723,東証JQS,日本電技,3770.0,,,,,,,,,,,,,,,
1724,東証JQS,シンクレイヤ,1076.0,,,,,,,,,,,,,,,
1726,東証1部,ビーアールホールディングス,533.0,,,,,,,,,,,,,,,
1728,東証JQS,ミサワホーム中国,319.0,,,,,,,,,,,,,,,
1730,東証JQS,麻生フオームクリート,595.0,,,,,,,,,,,,,,,
1734,札証,北弘電社,3790.0,,,,,,,,,,,,,,,
1736,東証JQS,オーテック,2381.0,,,,,,,,,,,,,,,
1737,東証2部,三井金属エンジニアリング,979.0,,,,,,,,,,,,,,,
1738,名証2部,ＮＩＴＴＯＨ,473.0,,,,,,,,,,,,,,,
1739,東証JQG,シード平和,721.0,,,,,,,,,,,,,,,
1743,東証2部,コーアツ工業,4000.0,,,,,,,,,,,,,,,
1757,東証2部,中小企業ホールディングス,62.0,,,,,,,,,,,,,,,
1758,東証JQS,太洋基礎工業,5000.0,,,,,,,,,,,,,,,
1762,東証1部,高松コンストラクショングループ,2136.0,,,,,,,,,,,,,,,
1764,東証2部,工藤建設,2779.0,,,,,,,,,,,,,,,
1766,東証1部,東建コーポレーション,9480.0,,,,,,,,,,,,,,,
1768,東証1部,ソネック,922.0,,,,,,,,,,,,,,,
1770,東証JQS,藤田エンジニアリング,1022.0,,,,,,,,,,,,,,,
1771,福証,日本乾溜工業,678.0,,,,,,,,,,,,,,,
1773,東証外国,ＹＴＬ,18.0,,,,,,,,,,,,,,,
1775,東証2部,富士古河Ｅ＆Ｃ,2755.0,,,,,,,,,,,,,,,
1776,東証2部,三井住建道路,1006.0,,,,,,,,,,,,,,,
1777,名証2部,川崎設備工業,421.0,,,,,,,,,,,,,,,
1780,東証1部,ヤマウラ,892.0,,,,,,,,,,,,,,,
1782,東証JQS,常磐開発,8940.0,,,,,,,,,,,,,,,
1783,東証JQS,アジアゲートホールディングス,48.0,,,,,,,,,,,,,,,
1786,東証1部,オリエンタル白石,283.0,,,,,,,,,,,,,,,
1787,東証JQS,ナカボーテック,5270.0,,,,,,,,,,,,,,,
1788,東証JQS,三東工業社,2538.0,,,,,,,,,,,,,,,
1789,東証JQS,ＥＴＳホールディングス,1017.0,,,,,,,,,,,,,,,
1793,東証JQS,大本組,5160.0,,,,,,,,,,,,,,,
1795,東証JQS,マサル,3520.0,,,,,,,,,,,,,,,
1798,東証JQS,守谷商会,2022.0,,,,,,,,,,,,,,,
1799,東証JQS,第一建設工業,1911.0,,,,,,,,,,,,,,,
1801,東証1部,大成建設,3845.0,,,,,,,,,,,,,,,
1802,東証1部,大林組,951.0,,,,,,,,,,,,,,,
1803,東証1部,清水建設,896.0,,,,,,,,,,,,,,,
1805,東証1部,飛島建設,1095.0,,,,,,,,,,,,,,,
1807,東証JQS,佐藤渡辺,3010.0,,,,,,,,,,,,,,,
1808,東証1部,長谷工コーポレーション,1563.0,,,,,,,,,,,,,,,
1810,東証1部,松井建設,769.0,,,,,,,,,,,,,,,
1811,東証1部,錢高組,4360.0,,,,,,,,,,,,,,,
1812,東証1部,鹿島,1477.0,,,,,,,,,,,,,,,
1813,東証1部,不動テトラ,1788.0,,,,,,,,,,,,,,,
1814,東証1部,大末建設,988.0,,,,,,,,,,,,,,,
1815,東証1部,鉄建建設,1891.0,,,,,,,,,,,,,,,
1820,東証1部,西松建設,3435.0,,,,,,,,,,,,,,,
1821,東証1部,三井住友建設,485.0,,,,,,,,,,,,,,,
1822,東証1部,大豊建設,4195.0,,,,,,,,,,,,,,,
1824,東証1部,前田建設工業,997.0,,,,,,,,,,,,,,,
1826,東証1部,佐田建設,429.0,,,,,,,,,,,,,,,
1827,東証1部,ナカノフドー建設,389.0,,,,,,,,,,,,,,,
1828,東証2部,田辺工業,830.0,,,,,,,,,,,,,,,
1832,札証,北海電気工事,670.0,,,,,,,,,,,,,,,
1833,東証1部,奥村組,2964.0,,,,,,,,,,,,,,,
1835,東証1部,東鉄工業,2554.0,,,,,,,,,,,,,,,
1840,東証2部,土屋ホールディングス,167.0,,,,,,,,,,,,,,,
1841,東証JQS,サンユー建設,910.0,,,,,,,,,,,,,,,
1844,東証2部,大盛工業,203.0,,,,,,,,,,,,,,,
1847,東証1部,イチケン,1945.0,,,,,,,,,,,,,,,
1848,東証1部,富士ピー・エス,557.0,,,,,,,,,,,,,,,
1850,東証2部,南海辰村建設,296.0,,,,,,,,,,,,,,,
1852,東証1部,淺沼組,4530.0,,,,,,,,,,,,,,,
1853,東証2部,森組,295.0,,,,,,,,,,,,,,,
1860,東証1部,戸田建設,803.0,,,,,,,,,,,,,,,
1861,東証1部,熊谷組,2979.0,,,,,,,,,,,,,,,
1866,東証1部,北野建設,2425.0,,,,,,,,,,,,,,,
1867,東証1部,植木組,1518.0,,,,,,,,,,,,,,,
1869,名証2部,名工建設,1094.0,,,,,,,,,,,,,,,
1870,東証1部,矢作建設工業,729.0,,,,,,,,,,,,,,,
1871,東証1部,ピーエス三菱,628.0,,,,,,,,,,,,,,,
1873,東証1部,日本ハウスホールディングス,331.0,,,,,,,,,,,,,,,
1878,東証1部,大東建託,11780.0,,,,,,,,,,,,,,,
1879,東証1部,新日本建設,872.0,,,,,,,,,,,,,,,
1881,東証1部,ＮＩＰＰＯ,2921.0,,,,,,,,,,,,,,,
1882,東証1部,東亜道路工業,4460.0,,,,,,,,,,,,,,,
1883,東証1部,前田道路,2246.0,,,,,,,,,,,,,,,
1884,東証1部,日本道路,7540.0,,,,,,,,,,,,,,,
1885,東証1部,東亜建設工業,2451.0,,,,,,,,,,,,,,,
1887,東証1部,日本国土開発,608.0,,,,,,,,,,,,,,,
1888,東証1部,若築建設,1353.0,,,,,,,,,,,,,,,
1890,東証1部,東洋建設,576.0,,,,,,,,,,,,,,,
1892,名証2部,徳倉建設,3530.0,,,,,,,,,,,,,,,
1893,東証1部,五洋建設,790.0,,,,,,,,,,,,,,,
1897,東証2部,金下建設,3680.0,,,,,,,,,,,,,,,
1898,東証1部,世紀東急工業,871.0,,,,,,,,,,,,,,,
1899,東証1部,福田組,5090.0,,,,,,,,,,,,,,,
1904,東証JQS,大成温調,1954.0,,,,,,,,,,,,,,,
1905,東証JQS,テノックス,887.0,,,,,,,,,,,,,,,
1909,東証1部,日本ドライケミカル,1715.0,,,,,,,,,,,,,,,
1911,東証1部,住友林業,2226.0,,,,,,,,,,,,,,,
1914,東証1部,日本基礎技術,510.0,,,,,,,,,,,,,,,
1921,東証1部,巴コーポレーション,381.0,,,,,,,,,,,,,,,
1925,東証1部,大和ハウス工業,3195.0,,,,,,,,,,,,,,,
1926,東証1部,ライト工業,1825.0,,,,,,,,,,,,,,,
1928,東証1部,積水ハウス,2302.0,,,,,,,,,,,,,,,
1929,東証1部,日特建設,780.0,,,,,,,,,,,,,,,
1930,東証1部,北陸電気工事,1246.0,,,,,,,,,,,,,,,
1934,東証1部,ユアテック,754.0,,,,,,,,,,,,,,,
1938,東証1部,日本リーテック,1692.0,,,,,,,,,,,,,,,
1939,東証1部,四電工,3270.0,,,,,,,,,,,,,,,
1941,東証1部,中電工,2332.0,,,,,,,,,,,,,,,
1942,東証1部,関電工,921.0,,,,,,,,,,,,,,,
1944,東証1部,きんでん,1869.0,,,,,,,,,,,,,,,
1945,東証1部,東京エネシス,955.0,,,,,,,,,,,,,,,
1946,東証1部,トーエネック,3825.0,,,,,,,,,,,,,,,
1948,東証2部,弘電社,4915.0,,,,,,,,,,,,,,,
1949,東証1部,住友電設,2366.0,,,,,,,,,,,,,,,
1950,東証1部,日本電設工業,1804.0,,,,,,,,,,,,,,,
1951,東証1部,協和エクシオ,2699.0,,,,,,,,,,,,,,,
1952,東証1部,新日本空調,2184.0,,,,,,,,,,,,,,,
1954,東証1部,日本工営,3340.0,,,,,,,,,,,,,,,
1959,東証1部,九電工,3635.0,,,,,,,,,,,,,,,
1960,東証2部,サンテック,699.0,,,,,,,,,,,,,,,
1961,東証1部,三機工業,1409.0,,,,,,,,,,,,,,,
1963,東証1部,日揮ホールディングス,1086.0,,,,,,,,,,,,,,,
1964,東証1部,中外炉工業,2044.0,,,,,,,,,,,,,,,
1965,東証2部,テクノ菱和,876.0,,,,,,,,,,,,,,,
1966,東証2部,高田工業所,687.0,,,,,,,,,,,,,,,
1967,東証1部,ヤマト,702.0,,,,,,,,,,,,,,,
1968,東証1部,太平電業,2661.0,,,,,,,,,,,,,,,
1969,東証1部,高砂熱学工業,1776.0,,,,,,,,,,,,,,,
1971,東証2部,中央ビルト工業,621.0,,,,,,,,,,,,,,,
1972,東証1部,三晃金属工業,2616.0,,,,,,,,,,,,,,,
1973,東証1部,ＮＥＣネッツエスアイ,1747.0,,,,,,,,,,,,,,,
1975,東証1部,朝日工業社,2964.0,,,,,,,,,,,,,,,
1976,東証1部,明星工業,747.0,,,,,,,,,,,,,,,
1979,東証1部,大気社,3115.0,,,,,,,,,,,,,,,
1980,東証1部,ダイダン,2759.0,,,,,,,,,,,,,,,
1981,東証JQS,協和日成,996.0,,,,,,,,,,,,,,,
1982,東証1部,日比谷総合設備,1894.0,,,,,,,,,,,,,,,
1992,東証JQS,神田通信機,950.0,,,,,,,,,,,,,,,
1994,東証JQS,高橋カーテンウォール工業,696.0,,,,,,,,,,,,,,,
1997,東証JQS,暁飯島工業,1500.0,,,,,,,,,,,,,,,
1999,福証,サイタホールディングス,2480.0,,,,,,,,,,,,,,,
2001,東証1部,ニップン,1593.0,,,,,,,,,,,,,,,
2002,東証1部,日清製粉グループ本社,1747.0,,,,,,,,,,,,,,,
2003,東証1部,日東富士製粉,7190.0,,,,,,,,,,,,,,,
2004,東証1部,昭和産業,2994.0,,,,,,,,,,,,,,,
2009,東証1部,鳥越製粉,804.0,,,,,,,,,,,,,,,
2053,東証1部,中部飼料,1410.0,,,,,,,,,,,,,,,
2055,東証2部,日和産業,319.0,,,,,,,,,,,,,,,
2058,福証,ヒガシマル,938.0,,,,,,,,,,,,,,,
2060,東証1部,フィード・ワン,812.0,,,,,,,,,,,,,,,
2107,東証1部,東洋精糖,1191.0,,,,,,,,,,,,,,,
2108,東証1部,日本甜菜製糖,1669.0,,,,,,,,,,,,,,,
2109,東証1部,ＤＭ三井製糖ホールディングス,1842.0,,,,,,,,,,,,,,,
2112,東証1部,塩水港精糖,225.0,,,,,,,,,,,,,,,
2114,東証2部,フジ日本精糖,551.0,,,,,,,,,,,,,,,
2117,東証1部,日新製糖,1733.0,,,,,,,,,,,,,,,
2120,東証1部,ＬＩＦＵＬＬ,374.0,,,,,,,,,,,,,,,
2121,東証1部,ミクシィ,2643.0,,,,,,,,,,,,,,,
2122,マザーズ,インタースペース,1013.0,,,,,,,,,,,,,,,
2124,東証1部,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,1807.0,,,,,,,,,,,,,,,
2127,東証1部,日本Ｍ＆Ａセンター,2663.0,,,,,,,,,,,,,,,
2130,東証1部,メンバーズ,2623.0,,,,,,,,,,,,,,,
2134,東証JQS,燦キャピタルマネージメント,41.0,,,,,,,,,,,,,,,
2136,東証JQS,ヒップ,788.0,,,,,,,,,,,,,,,
2137,札幌ア,光ハイツ・ヴェラス,765.0,,,,,,,,,,,,,,,
2138,東証JQS,クルーズ,2060.0,,,,,,,,,,,,,,,
2139,東証1部,中広,353.0,,,,,,,,,,,,,,,
2146,東証1部,ＵＴグループ,3120.0,,,,,,,,,,,,,,,
2148,東証1部,アイティメディア,1604.0,,,,,,,,,,,,,,,
2150,マザーズ,ケアネット,5420.0,,,,,,,,,,,,,,,
2151,東証1部,タケエイ,1275.0,,,,,,,,,,,,,,,
2152,東証JQS,幼児活動研究会,1055.0,,,,,,,,,,,,,,,
2153,東証1部,Ｅ・Ｊホールディングス,1101.0,,,,,,,,,,,,,,,
2154,東証1部,夢真ビーネックスグループ,1285.0,,,,,,,,,,,,,,,
2156,東証JQS,セーラー広告,289.0,,,,,,,,,,,,,,,
